,Unnamed: 0,date,retweets,favorites,text,location,language,sescore
39,40,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
40,41,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
41,42,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
42,43,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
43,44,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
44,45,6/11/2017 16:25,0,1,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
45,46,6/11/2017 12:53,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
46,47,6/11/2017 12:50,0,1,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
47,48,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
48,49,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
49,50,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
50,51,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
51,52,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
52,53,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
53,54,6/11/2017 12:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
54,55,6/11/2017 12:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
55,56,6/11/2017 6:48,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
56,57,6/11/2017 6:45,1,1,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
57,58,6/11/2017 6:45,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
58,59,6/11/2017 6:45,1,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
59,60,6/11/2017 6:45,1,1,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
60,61,6/11/2017 6:45,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
61,62,6/11/2017 6:45,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
62,63,6/11/2017 6:45,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
63,64,6/11/2017 6:45,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
64,65,6/11/2017 2:03,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
65,66,6/11/2017 2:03,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
66,67,6/11/2017 2:00,0,1,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
67,68,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
68,69,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
69,70,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
70,71,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
71,72,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
72,73,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
73,74,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
74,75,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
75,76,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
76,77,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
77,78,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
78,79,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
79,80,6/11/2017 2:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
80,81,6/11/2017 1:33,1,1,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
81,82,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
82,83,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
83,84,6/11/2017 1:25,0,1,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
84,85,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
85,86,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
86,87,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
87,88,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
88,89,6/11/2017 1:25,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
89,90,6/10/2017 22:23,1,0,1878: led the in ,,en,2
90,91,6/10/2017 22:10,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
91,92,6/10/2017 18:18,1,0,is an essential part of ,,en,1
92,93,6/10/2017 17:43,0,1,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
93,94,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
94,95,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
95,96,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
96,97,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
97,98,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
98,99,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
99,100,6/10/2017 17:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
100,101,6/10/2017 17:05,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
101,102,6/10/2017 16:17,3,1,"indicates that was dispersed into lower by 5,600 BCE. ",,en,1
102,103,6/10/2017 14:15,0,0,Over the past 100 years have increased five-fold. ,,en,1
103,104,6/10/2017 10:00,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
104,105,6/10/2017 9:24,0,0,RT investingbuddy Get Full Institutional Technical Analysis by tradingsafely1 for ,,en,1
105,106,6/10/2017 9:21,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
106,107,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
107,108,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
108,109,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
109,110,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
110,111,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
111,112,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
112,113,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
113,114,6/10/2017 9:20,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
114,115,6/10/2017 8:08,1,1,is a type of ,,en,1
115,116,6/10/2017 6:33,0,0,Jason Bonds Millionaire Roadmap trading mentoring program sign up for details!! ,,en,1
116,117,6/10/2017 6:07,0,0,"6,000 BCE: was growing ",,en,1
117,118,6/10/2017 5:35,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
118,119,6/10/2017 2:01,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
119,120,6/10/2017 1:50,1,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
120,121,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
121,122,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
122,123,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
123,124,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
124,125,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
125,126,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
126,127,6/10/2017 1:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
127,128,6/9/2017 23:03,0,0,Learning a winning stock trading strategy is EASY with Tim Sykes ,,en,1
128,129,6/9/2017 22:50,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
129,130,6/9/2017 21:48,0,0,Commodities For Dummies: ,,tl,1
130,131,6/9/2017 20:25,0,0,"Healthy rally, targeting ",,en,1
131,132,6/9/2017 20:21,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
132,133,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
133,134,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
134,135,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
135,136,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
136,137,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
137,138,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
138,139,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
139,140,6/9/2017 20:00,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
140,141,6/9/2017 18:19,0,1,"Since 1927, 2250 varieties have been developed. ",,en,1
141,142,6/9/2017 17:48,0,1,"Markets Report - Friday, June 9 ",,en,1
142,143,6/9/2017 17:20,0,1,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
143,144,6/9/2017 16:57,0,0,"Recap of the week for June 9, 2017 ",,en,1
144,145,6/9/2017 16:44,0,0,RT investingbuddy Get Full Institutional Technical Analysis by tradingsafely1 for ,,en,1
145,146,6/9/2017 16:41,2,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
146,147,6/9/2017 16:40,3,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
147,148,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
148,149,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
149,150,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
150,151,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
151,152,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
152,153,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
153,154,6/9/2017 16:40,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
154,155,6/9/2017 15:44,0,0,"Funds exited corn shorts & made new longs and are now net 138,758 fo contracts short vs 200,981 last wk keep in mind ",,en,1
155,156,6/9/2017 14:33,0,1,"July corn settled higher 1 at For the week, corn prices gained ",,en,1
156,157,6/9/2017 14:33,0,0,"July corn settled higher 1 at For the week, corn prices gained ",,en,1
157,158,6/9/2017 14:14,0,0,"By about 1 CE, the people in grew ",,en,2
158,159,6/9/2017 12:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
159,160,6/9/2017 12:12,0,0,"moved into the inter-Andean valleys of between 5,000-4,000 BCE. ",,en,3
160,161,6/9/2017 10:41,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
161,162,6/9/2017 10:40,1,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
162,163,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
163,164,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
164,165,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
165,166,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
166,167,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
167,168,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
168,169,6/9/2017 10:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
169,170,6/9/2017 9:14,0,0,Teucrium Corn Fund ETV19.46 66.76M Upgrade C Neutral - B ,,de,1
170,171,6/9/2017 7:50,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
171,172,6/9/2017 6:32,0,1,BlackRocks Macpherson: Historically we ve never had a 5th year of expansion in grain stocks Hedge funds record short ,,en,1
172,173,6/9/2017 5:21,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
173,174,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
174,175,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
175,176,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
176,177,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
177,178,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
178,179,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
179,180,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
180,181,6/9/2017 5:20,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
181,182,6/9/2017 2:35,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
182,183,6/9/2017 0:31,0,1,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
183,184,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
184,185,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
185,186,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
186,187,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
187,188,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
188,189,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
189,190,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
190,191,6/9/2017 0:20,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
191,192,6/8/2017 18:31,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
192,193,6/8/2017 18:30,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
193,194,6/8/2017 18:30,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
194,195,6/8/2017 18:30,0,1,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
195,196,6/8/2017 18:30,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
196,197,6/8/2017 18:30,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
197,198,6/8/2017 18:30,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
198,199,6/8/2017 18:30,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
199,200,6/8/2017 18:30,0,1,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
200,201,6/8/2017 18:20,1,1,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
201,202,6/8/2017 18:18,0,0,Here continues an epic saga on ,,en,1
202,203,6/8/2017 17:47,0,0,"Markets Report - Thursday, June 8 ",,en,1
203,204,6/8/2017 16:46,0,0,Jason Bonds Millionaire Roadmap trading mentoring program sign up for details!! ,,en,1
204,205,6/8/2017 14:35,1,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
205,206,6/8/2017 14:28,0,0,July corn settled lower -0.3 at ,,en,1
206,207,6/8/2017 14:27,0,0,July corn settled lower -0.3 at ,,en,1
207,208,6/8/2017 14:14,0,0,"In 2013, was released pyramided w/ ",,en,1
208,209,6/8/2017 13:44,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
209,210,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
210,211,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
211,212,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
212,213,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
213,214,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
214,215,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
215,216,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
216,217,6/8/2017 13:40,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
217,218,6/8/2017 12:23,4,17,"all this talk about oil and gold, but it's Corn that is breaking out and the one we should be focused on..... ",,en,1
218,219,6/8/2017 11:40,2,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
219,220,6/8/2017 10:16,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
220,221,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
221,222,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
222,223,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
223,224,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
224,225,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
225,226,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
226,227,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
227,228,6/8/2017 10:15,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
228,229,6/8/2017 9:30,0,0,Aside from all the commotion and drama surrounding and is in the process of a massive breakout ,,en,1
229,230,6/8/2017 9:05,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
230,231,6/8/2017 6:41,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
231,232,6/8/2017 6:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
232,233,6/8/2017 6:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
233,234,6/8/2017 6:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
234,235,6/8/2017 6:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
235,236,6/8/2017 6:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
236,237,6/8/2017 6:40,0,1,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
237,238,6/8/2017 6:40,0,0,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
238,239,6/8/2017 2:03,0,0,Commodities For Dummies: ,,tl,1
239,240,6/8/2017 2:02,0,1,has been grown since 1997 in the & ,,en,2
240,241,6/7/2017 17:57,1,0,"Markets Report - Wednesday, June 7 ",,en,1
241,242,6/7/2017 17:05,2,1,Institutional Technical Analysis by tradingsafely1 with Close Look at ,,en,1
242,243,6/7/2017 16:42,0,1,Corn futures July contract rose to an 11-month high but bottom was 1 year ago ,,en,1
243,244,6/7/2017 14:30,0,1,July corn closed higher 1.6 at ,,en,1
244,245,6/7/2017 14:30,0,0,July corn closed higher 1.6 at ,,en,1
245,246,6/7/2017 13:42,0,0,Limited Changes Likely Be Quarterly Stocks Reports ,,en,1
246,247,6/7/2017 13:21,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
247,248,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
248,249,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
249,250,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
250,251,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
251,252,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
252,253,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
253,254,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
254,255,6/7/2017 13:15,0,0,Institutional Technical Analysis by tradingsafely1 Showing Low Risk Opportunities for ,,en,1
255,256,6/7/2017 12:25,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
256,257,6/7/2017 12:12,0,0,"was domesticated by native peoples in about 10,000 years ago. ",,en,1
257,258,6/7/2017 11:07,0,0,Ethanol Catches Up ,,in,1
258,259,6/7/2017 10:32,0,1,"alpepinnazzo told u 18 hours ago, now dance 1,7 ",,en,1
259,260,6/7/2017 10:11,0,0,To really understand a one has to look into its - ,,en,2
260,261,6/7/2017 10:01,0,3,CORN ETN moved above establishing an intermediate uptrend. ,,en,3
261,262,6/7/2017 9:52,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
262,263,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
263,264,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
264,265,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
265,266,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
266,267,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
267,268,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
268,269,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
269,270,6/7/2017 9:50,0,0,GET Institutional Technical Analysis by tradingsafely1 ,,en,1
270,271,6/7/2017 9:09,0,0,December ,,nl,2
271,272,6/7/2017 7:46,0,0,"U.S., Mexico reach sugar pact Wilbur Ross doing more good work",,en,1
272,273,6/7/2017 7:36,0,0,Ethanol Catches Up ,,tl,1
273,274,6/7/2017 7:36,0,0,Ethanol Catches Up ,,tl,1
274,275,6/7/2017 7:36,0,0,Ethanol Catches Up ,,tl,1
